ADDRESS,LOCATION_TYPE,LATITUDE,LONGITUDE
'12304  Santa  Monica  Blvd  Los  Angeles  CA  90025-2551','ROOFTOP',34.039515,-118.465476
'5601  W.  Slauson  Ave  Culver  City  CA  90230-6582','ROOFTOP',33.98899,-118.378647
'13001  E  17th  Place  Aurora  CO  80045-2570','ROOFTOP',39.744479,-104.83783
'2140  South  Dixie  Hwy  Miami  FL  33133-2436','ROOFTOP',25.743069,-80.228728
'4  Byington  Place  Norwalk  CT  06850-3309','ROOFTOP',41.118155,-73.417847
'400  Harbor  Blvd.  Building  C  Belmont  CA  94002-4047','ROOFTOP',37.518995,-122.269595
'3130  E.  Broadway  Blvd.  Tucson  AZ  85716','ROOFTOP',32.221471,-110.926198
'718  Rutherford  Street  Durham  NC  27705-4615','ROOFTOP',36.00809,-78.927848
'8801  Lipan  Street  Thornton  CO  80260-4912','ROOFTOP',39.856311,-105.000972
'205  S.  Eola  Dr.  Orlando  FL  32801-2884','ROOFTOP',28.540341,-81.369802
'6655  66th  Street  North  Pinellas  Park  FL  33781','ROOFTOP',27.832381,-82.728376
'3875  Tiger  Bay  Road  Daytona  Beach  FL  32124-1063','ROOFTOP',29.147314,-81.152417
'260  South  Broad  Street  18th  Floor  Philadelphia  PA  19102-5000','ROOFTOP',39.947395,-75.164832
'4301  West  Markham  Slot  755  Little  Rock  AR  72205-7101','ROOFTOP',34.751564,-92.320681
'545  Boylston  Street  Ste  700  Boston  MA  02116','ROOFTOP',42.350667,-71.075456
'P.O.  Box  769  Basin  WY  82410-0769','ROOFTOP',44.346935,-108.165824
'2191  Third  Avenue  New  York  NY  10035-3520','ROOFTOP',40.800125,-73.938383
'390  40th  St  Oakland  CA  94609-2633','ROOFTOP',37.828482,-122.259339
'386  Stanley  St  Fall  River  MA  02720-6009','ROOFTOP',41.714709,-71.137915
'2000  Opelousas  St  Lake  Charles  LA  70601-2641','ROOFTOP',30.242214,-93.193052
'2922  Martin  Luther  King  Boulevard  Room  146  Dallas  TX  75215-2321','ROOFTOP',32.770377,-96.766898
'Drug  Court  Programs  Office  Tampa  FL  33602-3558','ROOFTOP',27.925131,-82.454555
'3130  E  Broadway  Blvd  Tucson  AZ  85716','ROOFTOP',32.221471,-110.926198
'2115  West  Park  Drive  Lorain  OH  44053','ROOFTOP',41.449739,-82.212412
'965  Mission  Street  Suite  325  San  Francisco  CA  94103-2964','ROOFTOP',37.781528,-122.40774
'50  Jay  St.  Brooklyn  NY  11201-1144','ROOFTOP',40.703237,-73.986557
'402  East  Main  Street  Waterbury  CT  06702-1701','ROOFTOP',41.554349,-73.033955
'1101  Sixth  Avenue  North  Nashville  TN  37208-2650','ROOFTOP',36.173887,-86.788702
'3630  West  Princeton  Circle  Denver  CO  80236','ROOFTOP',39.640898,-105.040132
'417  Liberty  Street  Springfield  MA  01104','ROOFTOP',42.114415,-72.585718
'303  Jackson  Hill  St.  Houston  TX  77007-7407','ROOFTOP',29.763534,-95.401761
'11600  Eldridge  Ave.  Lake  View  Terrace  CA  91342-6506','ROOFTOP',34.280946,-118.384463
'310  8th  Street  Suite  201  Oakland  CA  94607-6527','ROOFTOP',37.798958,-122.27043
'464  Chestnut  St.  Manchester  NH  03105','ROOFTOP',42.993373,-71.460725
'18646  Oxnard  Street  Tarzana  CA  91356-1411','ROOFTOP',34.180267,-118.541738
'499  Jackson  Pike  Gallipolis  OH  45631-1398','ROOFTOP',38.84362,-82.244493
'8620  W.  Emerald  Street  Boise  ID  83704','ROOFTOP',43.611373,-116.288882
'11500  Paramount  Downey  CA  90241','ROOFTOP',33.940505,-118.139569
'P.O.  Box  3308  Tucson  AZ  85722-3308','ROOFTOP',31.970131,-111.890713
'22361  South  Bald  Hill  Road  Tahlequah  OK  74464-1635','ROOFTOP',35.850771,-94.985276
'237  Social  Work  Building  Houston  TX  77204-4013','ROOFTOP',29.83399,-95.434241
'401  5th  Ave  Seattle  WA  98104-1818','ROOFTOP',47.60227,-122.327885
'1715  Kuenzli  Street  Reno  NV  89502-1117','ROOFTOP',39.52952,-119.791156
'601  McPhee  Road  SW  Olympia  WA  98502-5080','ROOFTOP',47.04289,-122.953158
'15100  NW  27th  Ave.  Opa  Locka  FL  33054-2642','ROOFTOP',25.911768,-80.245531
'233  Broad  Street  New  York  NY  10279-1299','ROOFTOP',40.712626,-74.008669
'545  Westminster  St  Fitchburg  MA  01420-4727','ROOFTOP',42.564867,-71.845693
'3375  U.S.  Route  60  East  Huntington  WV  25705-2837','ROOFTOP',38.411924,-82.36519
'315  Court  Street  Clearwater  FL  33756-5165','ROOFTOP',27.962247,-82.80163
'6000  Lamar  Ave.  Mission  KS  66202-3234','ROOFTOP',39.020154,-94.658364
'520  Townsend  Street  San  Francisco  CA  94103-6241','ROOFTOP',37.773187,-122.399971
'611  East  Belmont  Avenue  Fresno  CA  93701-1502','ROOFTOP',36.750461,-119.803965
'386  Stanley  Street  Fall  River  MA  02720','ROOFTOP',41.714709,-71.137915
'104  South  Front  Street  Prestonburg  KY  41653','ROOFTOP',37.666863,-82.775155
'1125  North  Tonti  Street  New  Orleans  LA  70119','ROOFTOP',29.971744,-90.076571
'2671  Huffman  Blvd.  Jacksonville  FL  32246-4056','ROOFTOP',30.299874,-81.504985
'14600  NW  Cornell  Rd  Portland  OR  97229-5442','ROOFTOP',45.531183,-122.827324
'95  Pine  St  New  York  NY  10005-3904','ROOFTOP',40.705231,-74.006237
'3746  Prospect  Ave.  Cleveland  OH  44115-2706','ROOFTOP',41.501636,-81.662486
'1025  E.  Forrest  Rm  408  Detroit  MI  48207-1098','ROOFTOP',42.359198,-83.051939
'2671  Huffman  Blvd  Jacksonville  FL  32246','ROOFTOP',30.299874,-81.504985
'300  N.  San  Antonio  Road  Santa  Barbara  CA  93110','ROOFTOP',34.443793,-119.781753
'3375  U.S.  RT.  60  East  Huntington  WV  25705-2837','ROOFTOP',38.411924,-82.36519
'447  East  Broad  Street  Columbus  OH  43215-3822','ROOFTOP',39.963316,-82.991059
