"uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
5171618,"Chicago","13B","simple assault","assault offenses","persons","2018-06-13 04:00",-87.697966,41.811197,"residence","residence","170318428005005",,
5171661,"Chicago","23C","shoplifting","larceny/theft offenses","property","2018-06-13 07:05",-87.62049,41.677375,"other retail","retail","170315306003001",,
5171735,"Chicago","240","motor vehicle theft","motor vehicle theft","property","2018-06-13 10:00",-87.685996,41.913499,"street","street","170312405001002",,
5171825,"Chicago","90J","trespass of real property","trespass of real property","society","2018-06-13 12:55",-87.746057,41.91573,"other retail","retail","170311911002009",,
5171843,"Chicago","23A","pocket-picking","larceny/theft offenses","property","2018-06-13 13:12",-87.644305,41.937228,"other","other","170310632006002",,
5171852,"Chicago","520","weapon law violations","weapon law violations","society","2018-06-13 13:30",-87.69032,41.800353,"street","street","170316305004010",,
5172109,"Chicago","90Z","all other offenses","all other offenses","other","2018-06-13 19:00",-87.613033,41.83607,"street","street","170313510003000",,
5172133,"Chicago","23B","purse-snatching","larceny/theft offenses","property","2018-06-13 19:38",-87.711736,41.880908,"bus","transportation","170312714001000",,
5172157,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-13 20:30",-87.680107,41.918109,"private vehicle","vehicle","170318322002034",,
5172172,"Chicago","13B","simple assault","assault offenses","persons","2018-06-13 21:00",-87.698104,41.772652,"residence","residence","170316608005015",,
5172351,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-06-14 02:49",-87.647515,41.791459,"street","street","170318347002008",,
5172407,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-06-14 07:00",-87.652876,41.7641,"street","street","170316814002007",,
5172468,"Chicago","35A","drug/narcotic violations","drug/narcotic offenses","society","2018-06-14 09:50",-87.710453,41.86336,"residence","residence","170318415001018",,
5172599,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-06-14 13:15",-87.736845,41.974611,"residence","residence","170311404003002",,
5172640,"Chicago","13B","simple assault","assault offenses","persons","2018-06-14 14:10",-87.748053,41.874938,"street","street","170312522025006",,
5172666,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property","2018-06-14 14:55",-87.616855,41.765146,"residence","residence","170316910001000",,
5172690,"Chicago","250","counterfeiting/forgery","counterfeiting/forgery","property","2018-06-14 15:12",-87.645331,41.753585,"other","other","170317102001011",,
5172990,"Chicago","26A","false pretenses/swindle/confidence game","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-14 22:30",-87.628118,41.893595,"restaurant","leisure","170310816001000",,
5173034,"Chicago","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-15 00:00",-87.672257,41.762489,"residence","residence","170316720003011",,
5173056,"Chicago","520","weapon law violations","weapon law violations","society","2018-06-15 00:05",-87.619701,41.672598,"street","street","170315306002001",,
5173140,"Chicago","13B","simple assault","assault offenses","persons","2018-06-15 04:39",-87.664452,41.857824,"factory/warehouse","commercial","170313107001006",,
5173287,"Chicago","13B","simple assault","assault offenses","persons","2018-06-15 10:35",-87.6419,41.889055,"street","street","170312801001003",,
5173353,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-15 12:00",-87.609221,41.818115,"construction","commercial","170313801001031",,
5173356,"Chicago","90Z","all other offenses","all other offenses","other","2018-06-15 12:00",-87.72098,41.774129,"residence","residence","170316503021035",,
5173556,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-15 16:40",-87.592915,41.745405,"street","street","170318343001016",,
5173607,"Chicago","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-15 18:00",-87.671381,42.02252,"residence","residence","170310101002005",,
5173616,"Chicago","26C","impersonation","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-06-15 18:00",-87.784025,41.786177,"residence","residence","170315610001022",,
5173628,"Chicago","90Z","all other offenses","all other offenses","other","2018-06-15 18:30",-87.625882,41.869572,"street","street","170313206002019",,
5173678,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-15 19:30",-87.731685,41.845068,"street","street","170313018012003",,
5173700,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-15 20:00",-87.781373,41.780733,"street","street","170316403003013",,
5173725,"Chicago","90Z","all other offenses","all other offenses","other","2018-06-15 20:54",-87.773039,41.78622,"residence","residence","170315611004024",,
5173800,"Chicago","13B","simple assault","assault offenses","persons","2018-06-15 22:33",-87.544279,41.745285,"residence","residence","170314601001025",,
5173845,"Chicago","23H","other theft","larceny/theft offenses","property","2018-06-15 23:35",-87.675609,41.907173,"street","street","170312414002002",,
5173909,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-06-16 00:55",-87.649288,41.967929,"healthcare","healthcare","170310314004007",,
