"uid","city_name","offense_code","offense_type","offense_group","offense_against","date_single","longitude","latitude","location_type","location_category","census_block","date_start","date_end"
5157913,"Chicago","13B","simple assault","assault offenses","persons","2018-05-27 01:46",-87.714574,41.877227,"residence","residence","170312714001015",,
5157991,"Chicago","240","motor vehicle theft","motor vehicle theft","property","2018-05-27 04:00",-87.62337,41.768304,"residence","residence","170316904003003",,
5158054,"Chicago","26B","credit card/automated teller machine fraud","fraud offenses (except counterfeiting/forgery and bad checks)","property","2018-05-27 08:00",-87.624353,41.880367,"other retail","retail","170313204001006",,
5158280,"Chicago","13B","simple assault","assault offenses","persons","2018-05-27 15:00",-87.633448,41.867324,"street","street","170313302002001",,
5158291,"Chicago","13A","aggravated assault","assault offenses","persons","2018-05-27 15:10",-87.594294,41.752338,"residence","residence","170318343002024",,
5158319,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property","2018-05-27 16:00",-87.660452,41.729766,"residence","residence","170317302014012",,
5158354,"Chicago","240","motor vehicle theft","motor vehicle theft","property","2018-05-27 17:00",-87.693722,41.790894,"street","street","170316308002000",,
5158412,"Chicago","13B","simple assault","assault offenses","persons","2018-05-27 18:10",-87.642659,41.774099,"street","street","170316809001019",,
5158462,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-05-27 19:29",-87.669623,41.800469,"residence","residence","170316118001021",,
5158467,"Chicago","13B","simple assault","assault offenses","persons","2018-05-27 19:30",-87.720384,41.893581,"residence","residence","170312315006021",,
5158699,"Chicago","23H","other theft","larceny/theft offenses","property","2018-05-28 00:00",-87.723152,41.792975,"gas station","retail","170316203001000",,
5158779,"Chicago","22A","residential burglary/breaking & entering","burglary/breaking & entering","property","2018-05-28 01:15",-87.637233,41.724348,"residence","residence","170317301002000",,
5158786,"Chicago","290","destruction/damage/vandalism of property (except arson)","destruction/damage/vandalism of property (except arson)","property","2018-05-28 01:33",-87.606345,41.799979,"street","street","170314105002000",,
5158963,"Chicago","12B","commercial robbery","robbery","property","2018-05-28 10:26",-87.725475,41.874975,"gas station","retail","170312607002012",,
